step, arokato, population, wealth, supply, demand, transactedFrom, transactedTo 
0,AAR01101,529.039,424.6399305535559,654.228283246652,281.6388549861727,0.0,0.0
0,AAR04101,14.932,0.9791261530084514,11.031399736719282,7.670596984882749,0.0,0.0
0,AAR06101,16.713,1.1861328988160116,12.549703774685465,8.595179713952504,0.0,0.0
0,AAR06107,49.423,7.509467854658869,43.40127327038204,25.694395170229807,0.0,0.0
0,AAR08102,108.446,28.60944268576147,106.67640634948951,56.82450712880096,0.0,0.0
0,AAR09102,10.377,0.5270214291237794,7.273820698892427,5.311320872744113,0.0,0.0
0,AAR09104,19.315,1.5173781471681098,14.809756340746974,9.94772254995428,0.0,0.0
0,AAR11103,11.412,0.6195949820500848,8.109887054762137,5.846626961204688,0.0,0.0
0,AAZ01101,871.871,993.839331285251,1158.8401647458206,466.4732661689113,0.0,0.0
0,AAZ01214,13.159,0.7895901299356443,9.545719667331984,6.7512644546764955,0.0,0.0
0,AAZ01215,16.952,1.2151486349398952,12.755293385717968,8.719330858933908,0.0,0.0
0,AAZ01218,12.593,0.7326597815178549,9.07732457518082,6.458036566383935,0.0,0.0
0,AAZ02102,25.34,2.408749662936336,20.2062764034431,13.086233974987847,0.0,0.0
0,AAZ03101,51.485,8.050524640738669,45.479681746414826,26.777345893874656,0.0,0.0
0,AAZ04101,13.985,0.8757991643475317,10.234488346200028,7.1794156888137834,0.0,0.0
0,AAZ04103,13.033,0.7767647346483648,9.441191577264389,6.685976465429843,0.0,0.0
0,AAZ04106,16.485,1.158722764783244,12.35397165081535,8.476759181198451,0.0,0.0
0,AAZ04107,12.238,0.697853707436165,8.78508245422854,6.27418843214481,0.0,0.0
0,AAZ04109,10.44,0.5324790848344311,7.324379779670759,5.34388997610711,0.0,0.0
0,AAZ04110,19.904,1.596977608853846,15.327712851602872,10.25415247607189,0.0,0.0
0,AAZ04114,17.197,1.245192398751152,12.96647909567409,8.846616937093831,0.0,0.0
0,AAZ04115,13.427,0.8171569374660671,9.768528755147436,6.890151688850345,0.0,0.0
0,AAZ04117,20.368,1.6608617503762115,15.737311370239484,10.495614588409403,0.0,0.0
0,AAZ05105,116.122,32.141298470946595,115.36077536352003,60.888273063235886,0.0,0.0
0,AAZ05107,11.475,0.625428252697375,8.161142998770176,5.879226954510017,0.0,0.0
0,AAZ06104,13.066,0.7801153909350254,9.468553936106378,6.703075093103923,0.0,0.0
0,AAZ07104,25.209,2.387592757977048,20.08677680316807,13.017907424647186,0.0,0.0
0,AAZ08101,15.947,1.095096399700728,11.893668928377174,8.197393602935145,0.0,0.0
0,AAZ08105,17.123,1.2360860612772084,12.90264630561527,8.808169422774634,0.0,0.0
0,AAZ09105,34.348,4.042316369570789,28.61907735769662,17.79223364803924,0.0,0.0
0,AAZ09106,10.25,0.5160900978033793,7.172034927495368,5.245671718926454,0.0,0.0
0,AAZ10101,16.061,1.1084546945738922,11.991020550629651,8.256582262649866,0.0,0.0
0,AAZ10108,20.333,1.6560068971301198,15.706367535474737,10.477398917449014,0.0,0.0
0,ABE01101,515.975,406.9468365450031,635.7732373893299,274.61543953031105,0.0,0.0
0,ABE02101,58.064,9.879124444095925,52.189738271116106,30.235421318296687,0.0,0.0
0,ABE02103,73.614,14.795367622020665,68.47302355402974,38.42377454265434,0.0,0.0
0,ABE02113,13.686,0.84416769125203,9.9844666741752,7.02440115042894,0.0,0.0
0,ABE02115,10.328,0.5227926328368788,7.234527587814202,5.28599071429146,0.0,0.0
0,ABE02119,41.548,5.588645977523652,35.582689017936076,21.56282352332426,0.0,0.0
0,ABE03104,148.3,48.73845839274363,152.62438872733142,77.95115722089558,0.0,0.0
0,ABE03114,71.087,13.941339770035478,65.78981934984591,37.091815664906306,0.0,0.0
0,ABE03115,10.566,0.5434638713524038,7.425629941681769,5.409034067505481,0.0,0.0
0,ABE03116,46.189,6.692425074420895,40.166864587429984,23.996834136925347,0.0,0.0
0,ABE04104,168.27,60.43081204701927,176.36486317759122,88.55982833102661,0.0,0.0
0,ABE04105,14.27,0.9063949552938128,10.473523202725294,7.327202887921536,0.0,0.0
0,ABE04107,19.216,1.5041640699783567,14.72291925059057,9.896226446236069,0.0,0.0
0,ABE04110,41.368,5.547497595696241,35.4063278518175,21.468473945043407,0.0,0.0
0,ABE04113,10.156,0.5080601469290162,7.096814495350117,5.197086239185789,0.0,0.0
0,ABE04114,30.602,3.3209870956552945,25.076220951166768,15.833514104009888,0.0,0.0
0,ABE04117,10.128,0.505678294266654,7.074427793437417,5.182614835978429,0.0,0.0
0,ABE05103,18.283,1.3819852744133876,13.907757728383254,9.411046909935632,0.0,0.0
0,ABE05104,72.943,14.566555114775701,67.75922970202362,38.07005125818011,0.0,0.0
0,ABE05107,28.541,2.9493515102558945,23.15308895179642,14.756857439742213,0.0,0.0
0,ABE05109,12.624,0.7357323032748788,9.102901323623124,6.474093392529542,0.0,0.0
0,ABE05112,20.389,1.663777475699712,15.755881357828818,10.506544141268154,0.0,0.0
0,ABE06101,15.777,1.0753004059974611,11.748682214935963,8.109137680520284,0.0,0.0
0,ABE06102,97.53,23.882765065862138,94.47997901162468,51.050454247123405,0.0,0.0
0,ABE06103,13.227,0.7965477311703649,9.60219181664874,6.786501843746536,0.0,0.0
0,ABE06104,15.099,0.9978382345863778,11.172704367608821,7.757247914255142,0.0,0.0
0,ABE06107,11.586,0.6357607122533951,8.25154988184784,5.936669386894089,0.0,0.0
0,ABE06109,19.028,1.479202061298178,14.558194485399424,9.79844317923958,0.0,0.0
