fr.geocites.gugus.balance.Bonus,fr.geocites.gugus.transaction.FixedCostTransaction,fr.geocites.marius.SubSurfaceResources,fr.geocites.marius.DoubleRedistribution,fr.geocites.gugus.urbanisation.UrbanTransition,fr.geocites.marius.From1959To1989,fr.geocites.marius.From1989To2010,economicMultiplier,populationToWealthExponent,sizeEffectOnSupply,sizeEffectOnDemand,wealthToPopulationExponent,distanceDecay,bonusMultiplier,fixedCost,oilAndGazEffect,coalEffect,territorialTaxes,capitalShareOfTaxes,ruralMultiplier,modelId,distribution,dead,overflow
true,false,false,false,false,true,false,0.3330989998764684,1.0257351098630854,1.0,1.0007612682249347,1.1768046293861576,0.748384034640293,0.004003954810273626,89.37272543200582,0.4950073247256994,-0.874514649615787,0.7521343494840377,0.3109622090191958,0.9999622550399311,2,0.014298598194637293,0.0,0.0
false,false,true,false,true,false,true,0.5092522161629854,1.1103125025007259,1.00423275676573,1.0018149378996335,0.6976790595377669,1.4601292768181906,0.0,13.108095614177584,0.01715425296927342,-0.012109400232132694,0.9509887053738254,0.0,8.300728638778999E-4,29,0.0051775732214519145,0.0,0.0
true,false,false,true,true,true,false,0.6782424013179893,1.0000731504988392,1.0429693333385677,1.0034402546193906,0.5451361846317883,0.02329861118060482,0.31437620190495985,32.79007583541932,0.7693012850545236,-0.8998035586944215,0.22922716127857706,0.9334293558352781,0.024287831241010104,42,0.013216093443141504,0.0,0.0
true,true,true,true,true,true,false,0.7330125772951085,1.038080814553552,1.000920696389337,1.0042315590081927,0.3594831793039833,0.09071688667689191,50.86817947057498,0.032742625040331944,0.019963108155598652,0.01996056451608408,0.8886946066728667,0.9972759124456659,0.018307995352243325,62,0.013175929561123964,0.0,0.0
true,true,false,true,true,true,false,0.4903283429054772,1.0092156097083609,1.0024225315375412,1.0760463345273548,0.3802108482954618,0.13935034865174653,93.88841253418106,0.3911124470323808,-0.008549753946875738,-0.8651779776772393,0.006641377794327068,0.9936336079834789,0.019945840594310225,56,0.012307208021496813,0.0,0.0
true,true,false,true,true,true,false,0.4700871598206935,1.0,1.001144181604956,1.0753364507083092,0.3833667185609429,0.14105201287191724,82.33397968379938,0.37558570124626894,-0.24145099583271268,-0.30921309353586224,0.008254143916415027,0.9943475612014764,0.019744738947792707,56,0.01229939610326989,0.0,0.0
false,true,false,true,false,false,true,0.5507489587468641,1.0438997967309631,1.0096446514873594,1.0,0.7418243560807145,0.36495437582218915,22.152116085506,90.40776112600214,0.7807265640679437,0.6660612652777602,0.07684335178112861,0.11484779563661122,0.9932923504756401,23,0.004653345657932185,0.0,0.0
true,true,true,true,true,true,false,0.7473173529532906,1.0353568765431163,1.0012421494505328,1.0136488130386427,0.36109065151878444,0.10127321471376488,36.314796975592984,0.03144744579799097,-0.05542489519905702,-0.018743621079457595,0.6216551676186237,0.9970500284727458,0.017552420920479157,62,0.013171359911593144,0.0,0.0
true,false,true,false,false,true,false,0.5683459691351938,1.0,1.016894901930588,1.0,0.7512434307387998,0.0,0.0479827394997865,100.0,7.341673437943896E-5,-0.015405953200433586,0.010211698673677033,0.5517739020548931,0.06230455363516155,14,0.015614836446567689,0.0,0.0
false,true,true,true,false,true,false,0.593998362518054,1.069093323285114,1.0025935326006667,1.05263381844334,0.6102865629923235,1.3683963599216666,0.0,0.0,0.04873732930605179,0.07548821477602541,0.8744612909272962,0.0,0.8561717955273863,44,0.01972771687262593,0.0,0.0
false,true,true,false,false,false,true,0.17441171835688632,1.0562639373299136,1.0034893322283713,1.0050211922283994,0.41563444642416786,0.0,68.93445056579654,0.18121716042367164,0.025977996373516943,-0.007113737363403816,0.6724439719850455,0.9715238721546854,0.2236799872372212,21,0.00507030146602944,0.0,0.0
false,false,true,false,true,false,true,0.5345301348056338,1.0885276708958347,1.0038337343283505,1.0015155481074536,0.7044885867514441,1.4250532526723467,1.614109862940084,100.0,0.016313903794218598,-0.011634209153763342,1.0,0.010092637781557797,0.0010605977157517558,29,0.0051775398486662684,0.0,0.0
true,true,false,true,true,false,true,0.5161959840644803,1.0421816622143982,1.007986717522056,1.0024586014119115,0.7284508703596762,0.4223103537885781,2.7227642265695775,81.71522385353623,1.0,-0.3533392878727868,0.06026813114992301,0.15271441726695983,0.004646317763316875,57,0.004619574530566649,0.0,0.0
false,false,false,false,false,true,false,0.09857534562068122,1.0,1.071245579218244,1.1251756215958417,0.4968444493870098,0.015950877973123417,100.0,53.29899872836453,0.1364205786804884,-0.13182150343561239,0.9104732675583834,0.6456345768615926,0.2318683167686569,0,0.022408843994619152,0.0,0.0
false,true,true,false,false,false,true,0.18118163296791653,1.080026037864088,1.0022299879445162,1.004984182368118,0.4179328932516251,0.011264509734470587,86.8954119788764,0.19014420127144305,0.026570434866264758,-0.006774079785572207,0.0,0.9526536245953746,0.06632982763589029,21,0.005072034649266303,0.0,0.0
true,true,false,true,true,true,false,0.4399338748567847,1.0,1.0005859471582423,1.074097799697638,0.3850597615879494,0.1844040363713238,77.52802911122288,0.35519877873911326,0.03738207711490582,-0.4163964551087699,0.006198818092395027,0.9927796090397538,0.019559154567011995,56,0.012303478380594273,0.0,0.0
true,true,true,true,true,true,false,0.7648560558271434,1.0343636919492738,1.0007833764831748,1.0,0.36121862601371013,0.03137689375484909,36.43392611740196,0.033074913491705354,-0.060290517873681004,0.013874822732649505,0.636808379234208,0.9966404717358015,0.018607641634562945,62,0.013156508855072246,0.0,0.0
